no;Kanji;onyomi-romaji;onyomi-kana;kunyomi-romanji;kunyomi-kana;translation
127;付;fu;フ;tsu(keru);つ(ける);adhere, attach, refer to, append
128;由;yu, yuu;ユ、ユウ;yoshi, yo(ru);よし、よ(る);wherefore, a reason
129;説;setsu, zei;セツ、 ゼイ;to(ku);と(く);opinion, theory, explanation
130;難;nan;ナン;kata(i), muzuka(shii), niku(i);かた(い)、むずか(しい)、 にく(い);difficult, trouble, accident
131;優;yuu, u;ユウ、ウ;yasa(shii), sugu(reru);やさ(しい)、すぐ(れる);tenderness, kind, actor
132;夫;fu, fuu;フ、フウ;otto;おっと;husband, man
133;収;shuu;シュウ;osa(meru);おさ(める);income, obtain, reap, pay, supply, store
134;断;dan;ダン;ta(tsu), kotowa(ru);た(つ)、 ことわ(る);severance, decline, refuse, apologize
135;石;seki, shaku, koku;セキ、シャク、コク;ishi;いし;stone
136;違;i;イ;chiga(u), taga(u);ちが(う)、たが(う);difference, differ
137;消;shou;ショウ;ki(eru), ke(su);き(える)、け(す);extinguish, turn off
138;神;shin, jin;シン、 ジン;kami;かみ;gods, mind, soul
139;番;ban;バン;tsugai;つが(い);turn, number in a series
140;規;ki;キ;empty;空;standard, measure
141;術;jutsu;ジュツ;sube;すべ;art, technique, skill, means, trick
142;備;bi;ビ;sona(eru);そな(える);equip, provision, preparation
143;宅;taku;タク;empty;空;home, house, residence
144;害;gai;ガイ;empty;空;harm, injury
145;配;hai;ハイ;kuba(ru);くば(る);distribute, spouse
146;警;kei;ケイ;empty;空;admonish, commandment
147;育;iku;イク;soda(tsu), haguku(mu);そだ(つ)、はぐく(む);bring up, grow up, raise
148;席;seki;セキ;mushiro;むしろ;seat
149;訪;hou;ホウ;toozu(reru), tazu(neru);おとず(れる)、たず(ねる);call on, visit
150;乗;jou, shou;ジョウ、 ショウ;no(ru);の(る);ride
151;残;zan;ザン;noko(ru);のこ(る);remainder, balance
152;想;sou, so;ソウ、ソ;omo(u);おも(う);concept, think, idea
153;声;sei, shou;セイ、ショウ;koe;こえ;voice
154;助;jo;ジョ;tasu(keru);たす(ける);help, rescue, assist
155;労;rou;ロウ;rou(suru), itawa(ru), negira(u);ろう(する)、いたわ(る)、ねぎら(う);labor, thank for
156;例;rei;レイ;tato(eba);たと(えば);example
157;然;zen, nen;ゼン、ネン;shika, sa;しか、さ;sort of thing, if so
158;限;gen;ゲン;kagi(ru);かぎ(る);limit, restrict
159;追;tsui;ツイ;o(u);お(う);chase, drive away
160;商;shou;ショウ;akina(u);あきな(う);"deal; selling; merchant"
161;葉;you;ヨウ;ha;は;leaf, plane, needle, blade, counter for flat things
162;伝;den;デン;tsuta(waru);つた(わる);transmit, go along, walk along, follow, report, communicate, legend, tradition
163;働;dou;ドウ;hatara(ku);はたら(く);work
164;形;kei, gyou;ケイ、ギョウ;kata, katachi, nari;かた、かたち、なり;shape, form, style
165;景;kei, ke;ケイ、ケ;empty;空;scenery, view
166;落;raku;ラク;o(chiru);お(ちる);fall, drop
167;好;kou;コウ;kono(mu), su(ku);この(む)、 す(く);fond, pleasing, like something
168;退;tai;タイ;shirizo(ku), hi(ku), no(keru), do(ku);しりぞ(く)、 ひ(く)、 の(ける)、 ど(く);retreat, withdraw, retire, resign, repel, expel, reject
169;頭;tou, zu, to;トウ、ズ、ト;atama, kashira;あたま、かしら;head
170;負;fu;フ;ma(keru), o(u);ま(ける)、 お(う);defeat, negative, minus, assume a responsibility
171;渡;to;ト;wata(ru);わた(る);transit, ferry, cross
172;失;shitsu;シツ;ushina(u), u(seru);うしな(う)、 う(せる);lose, error, fault, disadvantage, loss
173;差;sa;サ;sa(su);さ(す);distinction, difference, variation
174;末;matsu;マツ;sue;すえ;end, close, tip
175;守;shu, su;シュ、ス;mamo(ru), mori;まも(る)、もり;guard, protect, obey
176;若;jaku;ジャク;waka(i), mo(shi);わか(い)、も(し);young
177;種;shu;シュ;tane, -gusa;たね、-ぐさ;species, kind, class, seed
178;美;bi, mi;ビ、 ミ;utsukushii;うつく(しい);beauty, beautiful
179;命;mei, myou;メイ、ミョウ;inochi;いのち;fate, command
180;福;fuku;フク;empty;空;blessing, fortune, luck, wealth
181;望;bou;ボウ;nozo(mu), mochi;のぞ(む)、 もち;ambition, full moon, hope, desire, aspire to, expect
182;非;hi;ヒ;ara(zu);あら(ず);un-, mistake, negative
183;観;kan;カン;mi(ru);み(る);outlook, appearance, condition
184;察;satsu;サツ;empty;空;guess, presume, judge
185;段;dan;ダン;empty;空;grade, steps, stairs
186;横;ou;オウ;yoko;よこ;sideways, side
187;深;shin;シン;fuka(i);ふか(い);deep, heighten
188;申;shin;シン;mou(su), saru;もう(す)、さる;have the honor to
189;様;you;ヨウ;sama, san;さま、さん;manner, situation, polite suffix
190;財;zai, sai, zoku;ザイ、 サイ、 ゾク;empty;空;property, money, wealth, assets
191;港;kou;コウ;minato;みなと;harbor, port
192;識;shiki;シキ;shi(ru);し(る);know
193;呼;ko;コ;yo(bu);よ(ぶ);call, invite
194;達;tatsu, da;タツ、 ダ;-tachi-;たち;accomplished, reach, arrive, attain
195;良;ryou;リョウ;yo(i), i(i);よ(い)、い(い);good
196;阪;han;ハン;saka;さか;heights, slope
197;候;kou;コウ;sourou;そうろう;climate, season, weather
198;程;tei;テイ;hodo;ほど;extent, degree
199;満;man;マン;mi(chiru);み(ちる);full, fullness, enough, satisfy
200;敗;hai;ハイ;yabu(reru);やぶ(れる);failure, defeat
201;値;chi;チ;ne, atai;ね、 あたい;price, cost, value
202;突;totsu, ka;トツ、カ;tsu(ku);つ(く);stab, protruding, thrust
203;光;kou;コウ;hika(ru), hikari;ひか(る)、ひかり;ray, light
204;路;ro, ru;ロ、ル;michi;みち;path, route, road
